iter	Passed	Remaining
397	898	1358
398	900	1355
399	902	1353
400	904	1351
401	906	1349
402	908	1346
403	910	1342
404	912	1340
405	914	1337
406	915	1334
407	917	1331
408	919	1329
409	921	1325
410	923	1324
411	926	1322
412	929	1320
413	935	1324
414	938	1322
415	940	1319
416	942	1317
417	944	1314
418	946	1312
419	949	1311
420	952	1310
421	954	1306
422	956	1304
423	958	1301
424	960	1298
425	962	1296
426	963	1293
427	966	1291
428	967	1287
429	969	1285
430	971	1282
431	973	1280
432	975	1277
433	977	1275
434	979	1272
435	981	1269
436	983	1266
437	984	1263
438	986	1260
439	987	1257
440	989	1253
441	991	1251
442	992	1248
443	995	1246
444	997	1243
445	998	1240
446	1000	1237
447	1002	1234
448	1003	1231
449	1005	1229
450	1008	1227
451	1009	1224
452	1011	1221
453	1013	1218
